date,short_term_rec,short_term_score,medium_term_rec,medium_term_score,long_term_rec,long_term_score,sp500_close,short_term_return,medium_term_return,long_term_return
2025-05-09,Weak Negative,-29,Hold,0,Positive,56,5659.91015625,0.052734004307985784,0.06112636367212653,
2025-05-12,Weak Negative,-29,Hold,0,Positive,56,5844.18994140625,0.020432285303387504,0.033301470201817195,
2025-05-13,Positive,87,Positive,72,Weak Positive,32,5886.5498046875,0.009158192496234547,0.023050926975840547,
2025-05-14,Weak Positive,41,Positive,83,Weak Positive,32,5892.580078125,-0.008140782850254276,0.025910498538117818,
2025-05-15,Weak Positive,41,Weak Positive,29,Weak Positive,32,5916.93017578125,-0.012662040607291395,0.010147160314355497,
2025-05-16,Hold,15,Weak Positive,29,Weak Positive,32,5958.3798828125,-0.02610777789487331,0.012541996639777125,
2025-05-19,Hold,15,Weak Positive,29,Weak Positive,32,5963.60009765625,-0.026960270776822903,0.0032061367084312686,
2025-05-20,Hold,16,Weak Positive,29,Weak Positive,32,5940.4599609375,-0.0031849254097176226,0.006802529857237289,
2025-05-21,Hold,17,Weak Positive,48,Weak Positive,32,5844.60986328125,0.007518028137738089,0.02331383224777838,
2025-05-22,Weak Positive,29,Positive,68,Weak Positive,32,5842.009765625,0.012009592428761373,0.02153883392413984,
2025-05-23,Weak Positive,29,Positive,68,Weak Positive,32,5802.81982421875,0.018761588414845792,0.03831759461637009,
2025-05-26,Positive,54,Hold,-8,Weak Positive,32,5802.81982421875,0.022940591164300424,0.04986547236135449,
2025-05-27,Positive,54,Hold,-8,Weak Positive,32,5921.5400390625,0.008246178832344903,0.028813470155056593,
2025-05-28,Weak Positive,29,Weak Positive,48,Weak Positive,32,5888.5498046875,0.013969526731482825,0.042874769377474656,
2025-05-29,Weak Positive,29,Positive,89,Weak Positive,32,5912.169921875,0.004588819870031064,0.044129296991011986,
2025-05-30,Weak Positive,29,Weak Positive,47,Weak Positive,32,5911.68994140625,0.014999081946761833,0.04960683946771579,
2025-06-02,Weak Positive,29,Weak Positive,46,Weak Positive,32,5935.93994140625,0.011782454353754955,0.0441496758399925,
2025-06-03,Hold,17,Weak Positive,45,Weak Positive,30,5970.3701171875,0.01146326610627122,0.04305424950917282,
2025-06-04,Positive,79,Weak Positive,44,Weak Positive,32,5970.81005859375,0.008613601048525545,0.05167473693429926,
2025-06-05,Positive,79,Weak Positive,45,Weak Positive,32,5939.2998046875,0.017840480262315224,0.057254273087943904,
2025-06-06,Hold,19,Weak Positive,45,Weak Positive,32,6000.35986328125,-0.003898040945949124,0.038267724339775516,
2025-06-09,Positive,88,Weak Positive,45,Weak Positive,32,6005.8798828125,0.004533886957459169,0.036570850733680424,
2025-06-10,Positive,89,Weak Positive,45,Weak Positive,30,6038.81005859375,-0.009288227847169872,0.037167869969985,
2025-06-11,Positive,89,Weak Positive,43,Weak Positive,30,6022.240234375,-0.006869556108266656,0.04287768612892251,
2025-06-12,Positive,89,Weak Positive,43,Weak Positive,32,6045.259765625,-0.010651262465781396,0.03548073080244626,
2025-06-13,Positive,90,Hold,15,Weak Positive,32,5976.97021484375,-0.0015275918677116389,0.048785560788949446,
2025-06-16,Positive,54,Weak Positive,42,Weak Positive,32,6033.10986328125,-0.0013160611336740476,0.03491564170342873,
2025-06-17,Positive,83,Hold,14,Weak Positive,32,5982.72021484375,0.01829601870164653,0.04696525499748584,
2025-06-18,Positive,54,Weak Positive,42,Weak Positive,30,5980.8701171875,0.018607666925031647,0.052917007039534086,
2025-06-19,Positive,54,Weak Positive,41,Weak Positive,30,5980.8701171875,0.026777023945649632,0.05282173257150769,
2025-06-20,Positive,54,Weak Positive,41,Weak Positive,30,5967.83984375,0.034389324419234084,,
2025-06-23,Positive,54,Weak Positive,41,Weak Positive,32,6025.169921875,0.029838208012157332,,
2025-06-24,Positive,90,Hold,14,Weak Positive,32,6092.18017578125,0.017371382130893495,,
2025-06-25,Positive,90,Hold,14,Weak Positive,32,6092.16015625,0.022202266873472758,,
2025-06-26,Positive,90,Hold,14,Weak Positive,32,6141.02001953125,0.022525586577644616,,
2025-06-27,Positive,91,Positive,78,Positive,84,6173.06982421875,0.017216761913259354,,
2025-06-30,Positive,91,Positive,93,Positive,84,6204.9501953125,0.004033841427955156,,
2025-07-01,Positive,91,Positive,90,Positive,84,6198.009765625,0.00443856252999561,,
2025-07-02,Positive,91,Positive,94,Positive,84,6227.419921875,0.005755167340507377,,
2025-07-03,Positive,91,Positive,92,Positive,85,6279.35009765625,0.0001767481130991969,,
2025-07-04,Positive,91,Positive,92,Positive,91,6279.35009765625,-0.0031213576805608724,,
2025-07-07,Positive,91,Positive,92,Positive,91,6229.97998046875,0.006192648812026712,,
2025-07-08,Positive,91,Positive,92,Positive,84,6225.52001953125,0.0029298349433503805,,
2025-07-09,Positive,91,Positive,92,Positive,84,6263.259765625,7.03195626528593e-05,,
2025-07-10,Positive,91,Positive,91,Positive,91,6280.4599609375,0.0026908701669721828,,
2025-07-11,Positive,91,Positive,90,Positive,91,6259.75,0.005917175456288191,,
2025-07-14,Positive,84,Positive,91,Positive,91,6268.56005859375,,,
2025-07-15,Positive,86,Positive,88,Positive,91,6243.759765625,,,
2025-07-16,Weak Positive,37,Positive,90,Positive,84,6263.7001953125,,,
2025-07-17,Positive,76,Positive,87,Positive,91,6297.35986328125,,,
2025-07-18,Positive,92,Positive,87,Positive,91,6296.7900390625,,,
